NomMunicipio,count,total_reclamacoes,media_reclamacoes,percentual
CORNÉLIO PROCÓPIO,80,83,1.0375,0.0016667062509401265
Gongogi,80,81,1.0125,0.0016667062509401265
Santo Cristo,80,85,1.0625,0.0016667062509401265
Júlio Borges,80,85,1.0625,0.0016667062509401265
RESTINGA SECA,80,90,1.125,0.0016667062509401265
Chácara,80,86,1.075,0.0016667062509401265
Jaquirana,80,85,1.0625,0.0016667062509401265
GRANITO,80,87,1.0875,0.0016667062509401265
SÃO FÉLIX,80,86,1.075,0.0016667062509401265
Imaruí,80,91,1.1375,0.0016667062509401265
PRESIDENTE EPITÁCIO,80,82,1.025,0.0016667062509401265
Joanésia,80,82,1.025,0.0016667062509401265
Porto do Mangue,80,85,1.0625,0.0016667062509401265
Santa Rosa da Serra,80,81,1.0125,0.0016667062509401265
São João do Ivaí,80,81,1.0125,0.0016667062509401265
Tasso Fragoso,80,82,1.025,0.0016667062509401265
Tenente Laurentino Cruz,80,81,1.0125,0.0016667062509401265
Schroeder,79,81,1.0253164556962024,0.0016458724228033748
RODELAS,79,82,1.0379746835443038,0.0016458724228033748
Ângulo,79,80,1.0126582278481013,0.0016458724228033748
ESTÂNCIA,79,81,1.0253164556962024,0.0016458724228033748
TELÊMACO BORBA,79,89,1.1265822784810127,0.0016458724228033748
TIMBÓ,79,84,1.0632911392405062,0.0016458724228033748
Cabaceiras,79,80,1.0126582278481013,0.0016458724228033748
UTINGA,79,83,1.0506329113924051,0.0016458724228033748
Nortelândia,79,81,1.0253164556962024,0.0016458724228033748
Turvo,79,86,1.0886075949367089,0.0016458724228033748
Guaraciama,79,93,1.1772151898734178,0.0016458724228033748
AREAL,79,86,1.0886075949367089,0.0016458724228033748
SÃO MIGUEL DO GOSTOSO,79,82,1.0379746835443038,0.0016458724228033748
QUATRO BARRAS,79,96,1.2151898734177216,0.0016458724228033748
TERRA DE AREIA,79,94,1.1898734177215189,0.0016458724228033748
Itaquara,79,89,1.1265822784810127,0.0016458724228033748
LÁBREA,79,86,1.0886075949367089,0.0016458724228033748
ALTANEIRA,79,87,1.1012658227848102,0.0016458724228033748
CARMO DO RIO VERDE,79,89,1.1265822784810127,0.0016458724228033748
Canelinha,79,85,1.0759493670886076,0.0016458724228033748
Sandolândia,79,85,1.0759493670886076,0.0016458724228033748
Cônego Marinho,79,81,1.0253164556962024,0.0016458724228033748
Canudos do Vale,79,81,1.0253164556962024,0.0016458724228033748
AMARAL FERRADOR,79,93,1.1772151898734178,0.0016458724228033748
Caparaó,79,84,1.0632911392405062,0.0016458724228033748
Chaves,79,85,1.0759493670886076,0.0016458724228033748
José Raydan,79,79,1.0,0.0016458724228033748
PONTO NOVO,79,94,1.1898734177215189,0.0016458724228033748
Jesuítas,79,84,1.0632911392405062,0.0016458724228033748
Campo do Brito,79,81,1.0253164556962024,0.0016458724228033748
Taparuba,79,82,1.0379746835443038,0.0016458724228033748
CABECEIRAS,79,80,1.0126582278481013,0.0016458724228033748
IBICARAÍ,79,86,1.0886075949367089,0.0016458724228033748
São Miguel de Taipu,79,81,1.0253164556962024,0.0016458724228033748
Sucupira do Riachão,79,80,1.0126582278481013,0.0016458724228033748
Marilena,79,91,1.1518987341772151,0.0016458724228033748
Pedro Avelino,78,82,1.0512820512820513,0.0016250385946666233
Senador Elói de Souza,78,79,1.0128205128205128,0.0016250385946666233
COSMÓPOLIS,78,81,1.0384615384615385,0.0016250385946666233
LARANJAL PAULISTA,78,78,1.0,0.0016250385946666233
Araguaçu,78,83,1.064102564102564,0.0016250385946666233
Imaculada,78,78,1.0,0.0016250385946666233
Poção de Pedras,78,79,1.0128205128205128,0.0016250385946666233
